Statistic,Date2,County,UNIT,VALUE,Date
Staying Local Indicator,2020 March 11,Monaghan,%,52.6,11/03/2020
Staying Local Indicator,2020 March 11,Sligo,%,52.6,11/03/2020
Staying Local Indicator,2020 March 11,Laois,%,50.5,11/03/2020
Staying Local Indicator,2020 March 11,Longford,%,52.3,11/03/2020
Staying Local Indicator,2020 March 11,Offaly,%,50,11/03/2020
Staying Local Indicator,2020 March 11,Westmeath,%,56.5,11/03/2020
Staying Local Indicator,2020 March 11,Mayo,%,49.5,11/03/2020
Staying Local Indicator,2020 March 11,Roscommon,%,48.7,11/03/2020
Staying Local Indicator,2020 March 11,Dublin,%,73.8,11/03/2020
Staying Local Indicator,2020 March 11,Kildare,%,52.3,11/03/2020
Staying Local Indicator,2020 March 11,Meath,%,53,11/03/2020
Staying Local Indicator,2020 March 11,Wicklow,%,53.8,11/03/2020
Staying Local Indicator,2020 March 11,Clare,%,52.7,11/03/2020
Staying Local Indicator,2020 March 11,Carlow,%,48.5,11/03/2020
Staying Local Indicator,2020 March 11,Kilkenny,%,53.7,11/03/2020
Staying Local Indicator,2020 March 11,Tipperary,%,50.9,11/03/2020
Staying Local Indicator,2020 March 11,Wexford,%,52.1,11/03/2020
Staying Local Indicator,2020 March 11,Kerry,%,56,11/03/2020
Staying Local Indicator,2020 March 11,Cork,%,59.2,11/03/2020
Staying Local Indicator,2020 March 11,Galway,%,55.7,11/03/2020
Staying Local Indicator,2020 March 11,Limerick,%,60.6,11/03/2020
Staying Local Indicator,2020 March 11,Waterford,%,61.7,11/03/2020
Staying Local Indicator,2020 March 12,State,%,60.7,12/03/2020
Staying Local Indicator,2020 March 12,Cavan,%,51.4,12/03/2020
Staying Local Indicator,2020 March 12,Donegal,%,51.8,12/03/2020
Staying Local Indicator,2020 March 12,Leitrim,%,49.7,12/03/2020
Staying Local Indicator,2020 March 12,Louth,%,62.1,12/03/2020
Staying Local Indicator,2020 March 12,Monaghan,%,53.1,12/03/2020
Staying Local Indicator,2020 March 12,Sligo,%,53.4,12/03/2020
Staying Local Indicator,2020 March 12,Laois,%,50.9,12/03/2020
Staying Local Indicator,2020 March 12,Longford,%,52.5,12/03/2020
Staying Local Indicator,2020 March 12,Offaly,%,50.5,12/03/2020
Staying Local Indicator,2020 March 12,Westmeath,%,57,12/03/2020
Staying Local Indicator,2020 March 12,Mayo,%,50,12/03/2020
Staying Local Indicator,2020 March 12,Roscommon,%,49.3,12/03/2020
Staying Local Indicator,2020 March 12,Dublin,%,74.4,12/03/2020
Staying Local Indicator,2020 March 12,Kildare,%,53,12/03/2020
Staying Local Indicator,2020 March 12,Meath,%,53.7,12/03/2020
Staying Local Indicator,2020 March 12,Wicklow,%,54.6,12/03/2020
Staying Local Indicator,2020 March 12,Clare,%,53.3,12/03/2020
Staying Local Indicator,2020 March 12,Carlow,%,49.1,12/03/2020
Staying Local Indicator,2020 March 12,Kilkenny,%,54.3,12/03/2020
Staying Local Indicator,2020 March 12,Tipperary,%,51.4,12/03/2020
Staying Local Indicator,2020 March 12,Wexford,%,52.9,12/03/2020
Staying Local Indicator,2020 March 12,Kerry,%,56.6,12/03/2020
Staying Local Indicator,2020 March 12,Cork,%,59.9,12/03/2020
Staying Local Indicator,2020 March 12,Galway,%,56.2,12/03/2020
Staying Local Indicator,2020 March 12,Limerick,%,61.1,12/03/2020
Staying Local Indicator,2020 March 12,Waterford,%,62.4,12/03/2020
Staying Local Indicator,2020 March 13,State,%,61.5,13/03/2020
Staying Local Indicator,2020 March 13,Cavan,%,52,13/03/2020
Staying Local Indicator,2020 March 13,Donegal,%,52.1,13/03/2020
Staying Local Indicator,2020 March 13,Leitrim,%,50.2,13/03/2020
Staying Local Indicator,2020 March 13,Louth,%,63,13/03/2020
Staying Local Indicator,2020 March 13,Monaghan,%,53.7,13/03/2020
Staying Local Indicator,2020 March 13,Sligo,%,53.7,13/03/2020
Staying Local Indicator,2020 March 13,Laois,%,51.7,13/03/2020
Staying Local Indicator,2020 March 13,Longford,%,53.4,13/03/2020
Staying Local Indicator,2020 March 13,Offaly,%,51.3,13/03/2020
Staying Local Indicator,2020 March 13,Westmeath,%,57.8,13/03/2020
Staying Local Indicator,2020 March 13,Mayo,%,50.6,13/03/2020
Staying Local Indicator,2020 March 13,Roscommon,%,49.9,13/03/2020
Staying Local Indicator,2020 March 13,Dublin,%,75,13/03/2020
Staying Local Indicator,2020 March 13,Kildare,%,54.1,13/03/2020
Staying Local Indicator,2020 March 13,Meath,%,54.9,13/03/2020
Staying Local Indicator,2020 March 13,Wicklow,%,56,13/03/2020
Staying Local Indicator,2020 March 13,Clare,%,54.1,13/03/2020
Staying Local Indicator,2020 March 13,Carlow,%,49.7,13/03/2020
Staying Local Indicator,2020 March 13,Kilkenny,%,55.3,13/03/2020
Staying Local Indicator,2020 March 13,Tipperary,%,52.2,13/03/2020
Staying Local Indicator,2020 March 13,Wexford,%,53.8,13/03/2020
Staying Local Indicator,2020 March 13,Kerry,%,57.3,13/03/2020
Staying Local Indicator,2020 March 13,Cork,%,60.9,13/03/2020
Staying Local Indicator,2020 March 13,Galway,%,56.9,13/03/2020
Staying Local Indicator,2020 March 13,Limerick,%,61.7,13/03/2020
Staying Local Indicator,2020 March 13,Waterford,%,63.2,13/03/2020
Staying Local Indicator,2020 March 14,State,%,62.2,14/03/2020
Staying Local Indicator,2020 March 14,Cavan,%,52.8,14/03/2020
Staying Local Indicator,2020 March 14,Donegal,%,52.5,14/03/2020
Staying Local Indicator,2020 March 14,Leitrim,%,50.8,14/03/2020
Staying Local Indicator,2020 March 14,Louth,%,63.6,14/03/2020
Staying Local Indicator,2020 March 14,Monaghan,%,54.3,14/03/2020
Staying Local Indicator,2020 March 14,Sligo,%,54,14/03/2020
Staying Local Indicator,2020 March 14,Laois,%,52.5,14/03/2020
Staying Local Indicator,2020 March 14,Longford,%,54,14/03/2020
Staying Local Indicator,2020 March 14,Offaly,%,52.2,14/03/2020
Staying Local Indicator,2020 March 14,Westmeath,%,58.6,14/03/2020
Staying Local Indicator,2020 March 14,Mayo,%,50.9,14/03/2020
Staying Local Indicator,2020 March 14,Roscommon,%,50.5,14/03/2020
Staying Local Indicator,2020 March 14,Dublin,%,75.7,14/03/2020
Staying Local Indicator,2020 March 14,Kildare,%,55.2,14/03/2020
Staying Local Indicator,2020 March 14,Meath,%,56,14/03/2020
Staying Local Indicator,2020 March 14,Wicklow,%,57.3,14/03/2020
Staying Local Indicator,2020 March 14,Clare,%,54.7,14/03/2020
Staying Local Indicator,2020 March 14,Carlow,%,50.3,14/03/2020
Staying Local Indicator,2020 March 14,Kilkenny,%,56.2,14/03/2020
Staying Local Indicator,2020 March 14,Tipperary,%,52.9,14/03/2020
Staying Local Indicator,2020 March 14,Wexford,%,54.6,14/03/2020
Staying Local Indicator,2020 March 14,Kerry,%,57.8,14/03/2020
Staying Local Indicator,2020 March 14,Cork,%,61.6,14/03/2020
Staying Local Indicator,2020 March 14,Galway,%,57.5,14/03/2020
Staying Local Indicator,2020 March 14,Limerick,%,62.4,14/03/2020
Staying Local Indicator,2020 March 14,Waterford,%,64,14/03/2020
Staying Local Indicator,2020 March 15,State,%,62.9,15/03/2020
Staying Local Indicator,2020 March 15,Cavan,%,53.9,15/03/2020
Staying Local Indicator,2020 March 15,Donegal,%,53.4,15/03/2020
Staying Local Indicator,2020 March 15,Leitrim,%,51.3,15/03/2020
Staying Local Indicator,2020 March 15,Louth,%,64.4,15/03/2020
Staying Local Indicator,2020 March 15,Monaghan,%,55.3,15/03/2020
Staying Local Indicator,2020 March 15,Sligo,%,54.7,15/03/2020
Staying Local Indicator,2020 March 15,Laois,%,53.5,15/03/2020
Staying Local Indicator,2020 March 15,Longford,%,54.8,15/03/2020
Staying Local Indicator,2020 March 15,Offaly,%,53.2,15/03/2020
Staying Local Indicator,2020 March 15,Westmeath,%,59.4,15/03/2020
Staying Local Indicator,2020 March 15,Mayo,%,51.4,15/03/2020
Staying Local Indicator,2020 March 15,Roscommon,%,51.2,15/03/2020
Staying Local Indicator,2020 March 15,Dublin,%,76.3,15/03/2020
Staying Local Indicator,2020 March 15,Kildare,%,56.4,15/03/2020
Staying Local Indicator,2020 March 15,Meath,%,57.2,15/03/2020
Staying Local Indicator,2020 March 15,Wicklow,%,58.5,15/03/2020
Staying Local Indicator,2020 March 15,Clare,%,55.1,15/03/2020
Staying Local Indicator,2020 March 15,Carlow,%,51,15/03/2020
Staying Local Indicator,2020 March 15,Kilkenny,%,57.3,15/03/2020
Staying Local Indicator,2020 March 15,Tipperary,%,53.8,15/03/2020
Staying Local Indicator,2020 March 15,Wexford,%,55.5,15/03/2020
Staying Local Indicator,2020 March 15,Kerry,%,58.2,15/03/2020
Staying Local Indicator,2020 March 15,Cork,%,62.2,15/03/2020
Staying Local Indicator,2020 March 15,Galway,%,58.1,15/03/2020
Staying Local Indicator,2020 March 15,Limerick,%,63,15/03/2020
Staying Local Indicator,2020 March 15,Waterford,%,64.7,15/03/2020
Staying Local Indicator,2020 March 16,State,%,63.8,16/03/2020
Staying Local Indicator,2020 March 16,Cavan,%,54.9,16/03/2020
Staying Local Indicator,2020 March 16,Donegal,%,54.4,16/03/2020
Staying Local Indicator,2020 March 16,Leitrim,%,52.1,16/03/2020
Staying Local Indicator,2020 March 16,Louth,%,65.3,16/03/2020
Staying Local Indicator,2020 March 16,Monaghan,%,56.2,16/03/2020
Staying Local Indicator,2020 March 16,Sligo,%,55.2,16/03/2020
Staying Local Indicator,2020 March 16,Laois,%,54.6,16/03/2020
Staying Local Indicator,2020 March 16,Longford,%,55.6,16/03/2020
Staying Local Indicator,2020 March 16,Offaly,%,54.2,16/03/2020
Staying Local Indicator,2020 March 16,Westmeath,%,60.4,16/03/2020
Staying Local Indicator,2020 March 16,Mayo,%,52.1,16/03/2020
Staying Local Indicator,2020 March 16,Roscommon,%,52.1,16/03/2020
Staying Local Indicator,2020 March 16,Dublin,%,76.9,16/03/2020
Staying Local Indicator,2020 March 16,Kildare,%,58.1,16/03/2020
Staying Local Indicator,2020 March 16,Meath,%,59,16/03/2020
Staying Local Indicator,2020 March 16,Wicklow,%,60.1,16/03/2020
Staying Local Indicator,2020 March 16,Clare,%,55.9,16/03/2020
Staying Local Indicator,2020 March 16,Carlow,%,51.6,16/03/2020
Staying Local Indicator,2020 March 16,Kilkenny,%,58.4,16/03/2020
Staying Local Indicator,2020 March 16,Tipperary,%,54.7,16/03/2020
Staying Local Indicator,2020 March 16,Wexford,%,56.3,16/03/2020
Staying Local Indicator,2020 March 16,Kerry,%,58.9,16/03/2020
Staying Local Indicator,2020 March 16,Cork,%,62.9,16/03/2020
Staying Local Indicator,2020 March 16,Galway,%,58.9,16/03/2020
Staying Local Indicator,2020 March 16,Limerick,%,63.5,16/03/2020
Staying Local Indicator,2020 March 16,Waterford,%,65.3,16/03/2020
Staying Local Indicator,2020 March 17,State,%,64.6,17/03/2020
Staying Local Indicator,2020 March 17,Cavan,%,56.5,17/03/2020
Staying Local Indicator,2020 March 17,Donegal,%,55.2,17/03/2020
Staying Local Indicator,2020 March 17,Leitrim,%,53.5,17/03/2020
Staying Local Indicator,2020 March 17,Louth,%,66.4,17/03/2020
Staying Local Indicator,2020 March 17,Monaghan,%,57.6,17/03/2020
Staying Local Indicator,2020 March 17,Sligo,%,55.8,17/03/2020
Staying Local Indicator,2020 March 17,Laois,%,55.8,17/03/2020
Staying Local Indicator,2020 March 17,Longford,%,56.8,17/03/2020
Staying Local Indicator,2020 March 17,Offaly,%,55.4,17/03/2020
Staying Local Indicator,2020 March 17,Westmeath,%,62,17/03/2020
Staying Local Indicator,2020 March 17,Mayo,%,52.8,17/03/2020
Staying Local Indicator,2020 March 17,Roscommon,%,53.3,17/03/2020
Staying Local Indicator,2020 March 17,Dublin,%,77,17/03/2020
Staying Local Indicator,2020 March 17,Kildare,%,59.8,17/03/2020
Staying Local Indicator,2020 March 17,Meath,%,61,17/03/2020
Staying Local Indicator,2020 March 17,Wicklow,%,62.1,17/03/2020
Staying Local Indicator,2020 March 17,Clare,%,56.8,17/03/2020
Staying Local Indicator,2020 March 17,Carlow,%,52.1,17/03/2020
Staying Local Indicator,2020 March 17,Kilkenny,%,59.4,17/03/2020
Staying Local Indicator,2020 March 17,Tipperary,%,55.4,17/03/2020
Staying Local Indicator,2020 March 17,Wexford,%,57.6,17/03/2020
Staying Local Indicator,2020 March 17,Kerry,%,59.3,17/03/2020
Staying Local Indicator,2020 March 17,Cork,%,63.6,17/03/2020
Staying Local Indicator,2020 March 17,Galway,%,59.9,17/03/2020
Staying Local Indicator,2020 March 17,Limerick,%,63.9,17/03/2020
Staying Local Indicator,2020 March 17,Waterford,%,65.8,17/03/2020
Staying Local Indicator,2020 March 18,State,%,64.7,18/03/2020
Staying Local Indicator,2020 March 18,Cavan,%,56.6,18/03/2020
Staying Local Indicator,2020 March 18,Donegal,%,54.7,18/03/2020
Staying Local Indicator,2020 March 18,Leitrim,%,53.2,18/03/2020
Staying Local Indicator,2020 March 18,Louth,%,66.6,18/03/2020
Staying Local Indicator,2020 March 18,Monaghan,%,57.7,18/03/2020
Staying Local Indicator,2020 March 18,Sligo,%,55.4,18/03/2020
Staying Local Indicator,2020 March 18,Laois,%,55.9,18/03/2020
Staying Local Indicator,2020 March 18,Longford,%,56.7,18/03/2020
Staying Local Indicator,2020 March 18,Offaly,%,55.4,18/03/2020
Staying Local Indicator,2020 March 18,Westmeath,%,62.3,18/03/2020
Staying Local Indicator,2020 March 18,Mayo,%,52.2,18/03/2020
Staying Local Indicator,2020 March 18,Roscommon,%,53.2,18/03/2020
Staying Local Indicator,2020 March 18,Dublin,%,77.2,18/03/2020
Staying Local Indicator,2020 March 18,Kildare,%,60.7,18/03/2020
Staying Local Indicator,2020 March 18,Meath,%,61.8,18/03/2020
Staying Local Indicator,2020 March 18,Wicklow,%,63.2,18/03/2020
Staying Local Indicator,2020 March 18,Clare,%,56.8,18/03/2020
Staying Local Indicator,2020 March 18,Carlow,%,51.6,18/03/2020
Staying Local Indicator,2020 March 18,Kilkenny,%,59.9,18/03/2020
Staying Local Indicator,2020 March 18,Tipperary,%,55.3,18/03/2020
Staying Local Indicator,2020 March 18,Wexford,%,57.7,18/03/2020
Staying Local Indicator,2020 March 18,Kerry,%,58.9,18/03/2020
Staying Local Indicator,2020 March 18,Cork,%,63.6,18/03/2020
Staying Local Indicator,2020 March 18,Galway,%,59.6,18/03/2020
Staying Local Indicator,2020 March 18,Limerick,%,63.7,18/03/2020
Staying Local Indicator,2020 March 18,Waterford,%,65.7,18/03/2020
Staying Local Indicator,2020 March 19,State,%,64.5,19/03/2020
Staying Local Indicator,2020 March 19,Cavan,%,56.8,19/03/2020
Staying Local Indicator,2020 March 19,Donegal,%,54,19/03/2020
Staying Local Indicator,2020 March 19,Leitrim,%,52.9,19/03/2020
Staying Local Indicator,2020 March 19,Louth,%,66.3,19/03/2020
Staying Local Indicator,2020 March 19,Monaghan,%,57.6,19/03/2020
Staying Local Indicator,2020 March 19,Sligo,%,54.6,19/03/2020
Staying Local Indicator,2020 March 19,Laois,%,55.9,19/03/2020
Staying Local Indicator,2020 March 19,Longford,%,56.5,19/03/2020
Staying Local Indicator,2020 March 19,Offaly,%,55.1,19/03/2020
Staying Local Indicator,2020 March 19,Westmeath,%,62.5,19/03/2020
Staying Local Indicator,2020 March 19,Mayo,%,51.6,19/03/2020
Staying Local Indicator,2020 March 19,Roscommon,%,53,19/03/2020
Staying Local Indicator,2020 March 19,Dublin,%,77.1,19/03/2020
Staying Local Indicator,2020 March 19,Kildare,%,61.3,19/03/2020
Staying Local Indicator,2020 March 19,Meath,%,62.4,19/03/2020
Staying Local Indicator,2020 March 19,Wicklow,%,64.2,19/03/2020
Staying Local Indicator,2020 March 19,Clare,%,56.6,19/03/2020
Staying Local Indicator,2020 March 19,Carlow,%,51.3,19/03/2020
Staying Local Indicator,2020 March 19,Kilkenny,%,60.1,19/03/2020
Staying Local Indicator,2020 March 19,Tipperary,%,55.1,19/03/2020
Staying Local Indicator,2020 March 19,Wexford,%,57.5,19/03/2020
Staying Local Indicator,2020 March 19,Kerry,%,58.2,19/03/2020
Staying Local Indicator,2020 March 19,Cork,%,63.3,19/03/2020
Staying Local Indicator,2020 March 19,Galway,%,59,19/03/2020
Staying Local Indicator,2020 March 19,Limerick,%,63.4,19/03/2020
Staying Local Indicator,2020 March 19,Waterford,%,65.2,19/03/2020
Staying Local Indicator,2020 March 20,State,%,64.7,20/03/2020
Staying Local Indicator,2020 March 20,Cavan,%,57,20/03/2020
Staying Local Indicator,2020 March 20,Donegal,%,54.2,20/03/2020
Staying Local Indicator,2020 March 20,Leitrim,%,53.2,20/03/2020
Staying Local Indicator,2020 March 20,Louth,%,66.4,20/03/2020
Staying Local Indicator,2020 March 20,Monaghan,%,57.8,20/03/2020
Staying Local Indicator,2020 March 20,Sligo,%,54.5,20/03/2020
Staying Local Indicator,2020 March 20,Laois,%,56.3,20/03/2020
Staying Local Indicator,2020 March 20,Longford,%,56.4,20/03/2020
Staying Local Indicator,2020 March 20,Offaly,%,55.2,20/03/2020
Staying Local Indicator,2020 March 20,Westmeath,%,62.7,20/03/2020
Staying Local Indicator,2020 March 20,Mayo,%,51.5,20/03/2020
Staying Local Indicator,2020 March 20,Roscommon,%,53.1,20/03/2020
Staying Local Indicator,2020 March 20,Dublin,%,77.4,20/03/2020
Staying Local Indicator,2020 March 20,Kildare,%,61.9,20/03/2020
Staying Local Indicator,2020 March 20,Meath,%,62.8,20/03/2020
Staying Local Indicator,2020 March 20,Wicklow,%,64.9,20/03/2020
Staying Local Indicator,2020 March 20,Clare,%,56.5,20/03/2020
Staying Local Indicator,2020 March 20,Carlow,%,51.4,20/03/2020
Staying Local Indicator,2020 March 20,Kilkenny,%,60.3,20/03/2020
Staying Local Indicator,2020 March 20,Tipperary,%,55.2,20/03/2020
Staying Local Indicator,2020 March 20,Wexford,%,57.6,20/03/2020
Staying Local Indicator,2020 March 20,Kerry,%,57.9,20/03/2020
Staying Local Indicator,2020 March 20,Cork,%,63.2,20/03/2020
Staying Local Indicator,2020 March 20,Galway,%,59,20/03/2020
Staying Local Indicator,2020 March 20,Limerick,%,63.3,20/03/2020
Staying Local Indicator,2020 March 20,Waterford,%,65.1,20/03/2020
Staying Local Indicator,2020 March 21,State,%,65.3,21/03/2020
Staying Local Indicator,2020 March 21,Cavan,%,57.8,21/03/2020
Staying Local Indicator,2020 March 21,Donegal,%,55.1,21/03/2020
Staying Local Indicator,2020 March 21,Leitrim,%,53.8,21/03/2020
Staying Local Indicator,2020 March 21,Louth,%,67.2,21/03/2020
Staying Local Indicator,2020 March 21,Monaghan,%,58.5,21/03/2020
Staying Local Indicator,2020 March 21,Sligo,%,55.3,21/03/2020
Staying Local Indicator,2020 March 21,Laois,%,56.9,21/03/2020
Staying Local Indicator,2020 March 21,Longford,%,56.8,21/03/2020
Staying Local Indicator,2020 March 21,Offaly,%,55.7,21/03/2020
Staying Local Indicator,2020 March 21,Westmeath,%,63.1,21/03/2020
Staying Local Indicator,2020 March 21,Mayo,%,52.1,21/03/2020
Staying Local Indicator,2020 March 21,Roscommon,%,53.8,21/03/2020
Staying Local Indicator,2020 March 21,Dublin,%,78.1,21/03/2020
Staying Local Indicator,2020 March 21,Kildare,%,62.7,21/03/2020
Staying Local Indicator,2020 March 21,Meath,%,63.6,21/03/2020
Staying Local Indicator,2020 March 21,Wicklow,%,65.8,21/03/2020
Staying Local Indicator,2020 March 21,Clare,%,57.2,21/03/2020
Staying Local Indicator,2020 March 21,Carlow,%,52.1,21/03/2020
Staying Local Indicator,2020 March 21,Kilkenny,%,61.1,21/03/2020
Staying Local Indicator,2020 March 21,Tipperary,%,55.8,21/03/2020
Staying Local Indicator,2020 March 21,Wexford,%,58,21/03/2020
Staying Local Indicator,2020 March 21,Kerry,%,58.3,21/03/2020
Staying Local Indicator,2020 March 21,Cork,%,63.9,21/03/2020
Staying Local Indicator,2020 March 21,Galway,%,59.6,21/03/2020
Staying Local Indicator,2020 March 21,Limerick,%,63.8,21/03/2020
Staying Local Indicator,2020 March 21,Waterford,%,65.5,21/03/2020
Staying Local Indicator,2020 March 22,State,%,64.9,22/03/2020
Staying Local Indicator,2020 March 22,Cavan,%,57.2,22/03/2020
Staying Local Indicator,2020 March 22,Donegal,%,54.2,22/03/2020
Staying Local Indicator,2020 March 22,Leitrim,%,53.6,22/03/2020
Staying Local Indicator,2020 March 22,Louth,%,66.8,22/03/2020
Staying Local Indicator,2020 March 22,Monaghan,%,58.1,22/03/2020
Staying Local Indicator,2020 March 22,Sligo,%,54.7,22/03/2020
Staying Local Indicator,2020 March 22,Laois,%,56.4,22/03/2020
Staying Local Indicator,2020 March 22,Longford,%,56.2,22/03/2020
Staying Local Indicator,2020 March 22,Offaly,%,55.1,22/03/2020
Staying Local Indicator,2020 March 22,Westmeath,%,62.7,22/03/2020
Staying Local Indicator,2020 March 22,Mayo,%,51.3,22/03/2020
Staying Local Indicator,2020 March 22,Roscommon,%,53.4,22/03/2020
Staying Local Indicator,2020 March 22,Dublin,%,78,22/03/2020
Staying Local Indicator,2020 March 22,Kildare,%,62.2,22/03/2020
Staying Local Indicator,2020 March 22,Meath,%,63.1,22/03/2020
Staying Local Indicator,2020 March 22,Wicklow,%,65.8,22/03/2020
Staying Local Indicator,2020 March 22,Clare,%,56.9,22/03/2020
Staying Local Indicator,2020 March 22,Carlow,%,51.4,22/03/2020
Staying Local Indicator,2020 March 22,Kilkenny,%,60.6,22/03/2020
Staying Local Indicator,2020 March 22,Tipperary,%,55.1,22/03/2020
Staying Local Indicator,2020 March 22,Wexford,%,57.5,22/03/2020
Staying Local Indicator,2020 March 22,Kerry,%,57.4,22/03/2020
Staying Local Indicator,2020 March 22,Cork,%,63.4,22/03/2020
Staying Local Indicator,2020 March 22,Galway,%,59.1,22/03/2020
Staying Local Indicator,2020 March 22,Limerick,%,63.2,22/03/2020
Staying Local Indicator,2020 March 22,Waterford,%,64.9,22/03/2020
Staying Local Indicator,2020 March 23,State,%,65,23/03/2020
Staying Local Indicator,2020 March 23,Cavan,%,57.3,23/03/2020
Staying Local Indicator,2020 March 23,Donegal,%,54.3,23/03/2020
Staying Local Indicator,2020 March 23,Leitrim,%,53.6,23/03/2020
Staying Local Indicator,2020 March 23,Louth,%,66.9,23/03/2020
Staying Local Indicator,2020 March 23,Monaghan,%,58.1,23/03/2020
Staying Local Indicator,2020 March 23,Sligo,%,54.6,23/03/2020
Staying Local Indicator,2020 March 23,Laois,%,56.3,23/03/2020
Staying Local Indicator,2020 March 23,Longford,%,55.9,23/03/2020
Staying Local Indicator,2020 March 23,Offaly,%,54.9,23/03/2020
Staying Local Indicator,2020 March 23,Westmeath,%,62.6,23/03/2020
Staying Local Indicator,2020 March 23,Mayo,%,51.2,23/03/2020
Staying Local Indicator,2020 March 23,Roscommon,%,53.1,23/03/2020
Staying Local Indicator,2020 March 23,Dublin,%,78.3,23/03/2020
Staying Local Indicator,2020 March 23,Kildare,%,62.4,23/03/2020
Staying Local Indicator,2020 March 23,Meath,%,63.3,23/03/2020
Staying Local Indicator,2020 March 23,Wicklow,%,66.2,23/03/2020
Staying Local Indicator,2020 March 23,Clare,%,57,23/03/2020
Staying Local Indicator,2020 March 23,Carlow,%,51.2,23/03/2020
Staying Local Indicator,2020 March 23,Kilkenny,%,60.6,23/03/2020
Staying Local Indicator,2020 March 23,Tipperary,%,55,23/03/2020
Staying Local Indicator,2020 March 23,Wexford,%,57.4,23/03/2020
Staying Local Indicator,2020 March 23,Kerry,%,57.1,23/03/2020
Staying Local Indicator,2020 March 23,Cork,%,63.4,23/03/2020
Staying Local Indicator,2020 March 23,Galway,%,58.9,23/03/2020
Staying Local Indicator,2020 March 23,Limerick,%,63.2,23/03/2020
Staying Local Indicator,2020 March 23,Waterford,%,64.8,23/03/2020
Staying Local Indicator,2020 March 24,State,%,64.5,24/03/2020
Staying Local Indicator,2020 March 24,Cavan,%,56,24/03/2020
Staying Local Indicator,2020 March 24,Donegal,%,53.6,24/03/2020
Staying Local Indicator,2020 March 24,Leitrim,%,52.3,24/03/2020
Staying Local Indicator,2020 March 24,Louth,%,66.2,24/03/2020
Staying Local Indicator,2020 March 24,Monaghan,%,57.1,24/03/2020
Staying Local Indicator,2020 March 24,Sligo,%,53.8,24/03/2020
Staying Local Indicator,2020 March 24,Laois,%,55.4,24/03/2020
Staying Local Indicator,2020 March 24,Longford,%,54.2,24/03/2020
Staying Local Indicator,2020 March 24,Offaly,%,53.9,24/03/2020
Staying Local Indicator,2020 March 24,Westmeath,%,61.5,24/03/2020
Staying Local Indicator,2020 March 24,Mayo,%,50.3,24/03/2020
Staying Local Indicator,2020 March 24,Roscommon,%,51.9,24/03/2020
Staying Local Indicator,2020 March 24,Dublin,%,78.4,24/03/2020
Staying Local Indicator,2020 March 24,Kildare,%,61.7,24/03/2020
Staying Local Indicator,2020 March 24,Meath,%,62.4,24/03/2020
Staying Local Indicator,2020 March 24,Wicklow,%,65.7,24/03/2020
Staying Local Indicator,2020 March 24,Clare,%,56.2,24/03/2020
Staying Local Indicator,2020 March 24,Carlow,%,50.8,24/03/2020
Staying Local Indicator,2020 March 24,Kilkenny,%,60.1,24/03/2020
Staying Local Indicator,2020 March 24,Tipperary,%,54.3,24/03/2020
Staying Local Indicator,2020 March 24,Wexford,%,56.5,24/03/2020
Staying Local Indicator,2020 March 24,Kerry,%,56.5,24/03/2020
Staying Local Indicator,2020 March 24,Cork,%,62.8,24/03/2020
Staying Local Indicator,2020 March 24,Galway,%,57.8,24/03/2020
Staying Local Indicator,2020 March 24,Limerick,%,62.9,24/03/2020
Staying Local Indicator,2020 March 24,Waterford,%,64.3,24/03/2020
Staying Local Indicator,2020 March 25,State,%,64.8,25/03/2020
Staying Local Indicator,2020 March 25,Cavan,%,56.4,25/03/2020
Staying Local Indicator,2020 March 25,Donegal,%,54.4,25/03/2020
Staying Local Indicator,2020 March 25,Leitrim,%,52.9,25/03/2020
Staying Local Indicator,2020 March 25,Louth,%,66.5,25/03/2020
Staying Local Indicator,2020 March 25,Monaghan,%,57.3,25/03/2020
Staying Local Indicator,2020 March 25,Sligo,%,54.3,25/03/2020
Staying Local Indicator,2020 March 25,Laois,%,55.6,25/03/2020
Staying Local Indicator,2020 March 25,Longford,%,54.3,25/03/2020
Staying Local Indicator,2020 March 25,Offaly,%,54.1,25/03/2020
Staying Local Indicator,2020 March 25,Westmeath,%,61.7,25/03/2020
Staying Local Indicator,2020 March 25,Mayo,%,50.9,25/03/2020
Staying Local Indicator,2020 March 25,Roscommon,%,52.2,25/03/2020
Staying Local Indicator,2020 March 25,Dublin,%,78.7,25/03/2020
Staying Local Indicator,2020 March 25,Kildare,%,62.2,25/03/2020
Staying Local Indicator,2020 March 25,Meath,%,62.8,25/03/2020
Staying Local Indicator,2020 March 25,Wicklow,%,66,25/03/2020
Staying Local Indicator,2020 March 25,Clare,%,56.5,25/03/2020
Staying Local Indicator,2020 March 25,Carlow,%,50.9,25/03/2020
Staying Local Indicator,2020 March 25,Kilkenny,%,60.3,25/03/2020
Staying Local Indicator,2020 March 25,Tipperary,%,54.5,25/03/2020
Staying Local Indicator,2020 March 25,Wexford,%,56.6,25/03/2020
Staying Local Indicator,2020 March 25,Kerry,%,56.8,25/03/2020
Staying Local Indicator,2020 March 25,Cork,%,63.2,25/03/2020
Staying Local Indicator,2020 March 25,Galway,%,58.2,25/03/2020
Staying Local Indicator,2020 March 25,Limerick,%,63,25/03/2020
Staying Local Indicator,2020 March 25,Waterford,%,64.4,25/03/2020
Staying Local Indicator,2020 March 26,State,%,65,26/03/2020
Staying Local Indicator,2020 March 26,Cavan,%,56.5,26/03/2020
