"Statistic","Week","Age Group","Sex","UNIT","VALUE"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","Under 20 years","Female","Number","12551"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","20 - 24 years","Both sexes","Number","83855"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","20 - 24 years","Male","Number","41334"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","20 - 24 years","Female","Number","42521"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","25 - 34 years","Both sexes","Number","115036"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","25 - 34 years","Male","Number","59276"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","25 - 34 years","Female","Number","55760"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","35 - 44 years","Both sexes","Number","115372"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","35 - 44 years","Male","Number","59774"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","35 - 44 years","Female","Number","55598"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","45 - 54 years","Both sexes","Number","92658"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","45 - 54 years","Male","Number","49749"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","45 - 54 years","Female","Number","42909"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","55 - 59 years","Both sexes","Number","36630"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","55 - 59 years","Male","Number","20638"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","55 - 59 years","Female","Number","15992"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","60 years and over","Both sexes","Number","32689"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","60 years and over","Male","Number","19720"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","60 years and over","Female","Number","12969"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","All ages","Both sexes","Number","499919"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","All ages","Male","Number","261619"
"Persons in receipt of the Pandemic Unemployment Payment","2020W24","All ages","Female","Number","238300"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","Under 20 years","Both sexes","Number","22488"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","Under 20 years","Male","Number","10460"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","Under 20 years","Female","Number","12028"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","20 - 24 years","Both sexes","Number","78822"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","20 - 24 years","Male","Number","38530"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","20 - 24 years","Female","Number","40292"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","25 - 34 years","Both sexes","Number","108116"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","25 - 34 years","Male","Number","54996"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","25 - 34 years","Female","Number","53120"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","35 - 44 years","Both sexes","Number","107328"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","35 - 44 years","Male","Number","54576"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","35 - 44 years","Female","Number","52752"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","45 - 54 years","Both sexes","Number","85700"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","45 - 54 years","Male","Number","45620"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","45 - 54 years","Female","Number","40080"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","55 - 59 years","Both sexes","Number","33890"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","55 - 59 years","Male","Number","19052"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","55 - 59 years","Female","Number","14838"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","60 years and over","Both sexes","Number","30468"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","60 years and over","Male","Number","18416"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","60 years and over","Female","Number","12052"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","All ages","Both sexes","Number","466812"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","All ages","Male","Number","241650"
"Persons in receipt of the Pandemic Unemployment Payment","2020W25","All ages","Female","Number","225162"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","Under 20 years","Both sexes","Number","21537"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","Under 20 years","Male","Number","9990"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","Under 20 years","Female","Number","11547"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","20 - 24 years","Both sexes","Number","74669"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","20 - 24 years","Male","Number","36300"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","20 - 24 years","Female","Number","38369"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","25 - 34 years","Both sexes","Number","102024"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","25 - 34 years","Male","Number","51382"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","25 - 34 years","Female","Number","50642"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","35 - 44 years","Both sexes","Number","100673"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","35 - 44 years","Male","Number","50352"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","35 - 44 years","Female","Number","50321"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","45 - 54 years","Both sexes","Number","80448"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","45 - 54 years","Male","Number","42460"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","45 - 54 years","Female","Number","37988"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","55 - 59 years","Both sexes","Number","31892"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","55 - 59 years","Male","Number","17831"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","55 - 59 years","Female","Number","14061"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","60 years and over","Both sexes","Number","28501"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","60 years and over","Male","Number","17231"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","60 years and over","Female","Number","11270"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","All ages","Both sexes","Number","439744"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","All ages","Male","Number","225546"
"Persons in receipt of the Pandemic Unemployment Payment","2020W26","All ages","Female","Number","214198"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","Under 20 years","Both sexes","Number","19097"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","Under 20 years","Male","Number","8898"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","Under 20 years","Female","Number","10199"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","20 - 24 years","Both sexes","Number","70624"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","20 - 24 years","Male","Number","34284"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","20 - 24 years","Female","Number","36340"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","25 - 34 years","Both sexes","Number","95859"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","25 - 34 years","Male","Number","48227"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","25 - 34 years","Female","Number","47632"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","35 - 44 years","Both sexes","Number","94335"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","35 - 44 years","Male","Number","46777"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","35 - 44 years","Female","Number","47558"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","45 - 54 years","Both sexes","Number","75959"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","45 - 54 years","Male","Number","39889"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","45 - 54 years","Female","Number","36070"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","55 - 59 years","Both sexes","Number","30326"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","55 - 59 years","Male","Number","16898"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","55 - 59 years","Female","Number","13428"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","60 years and over","Both sexes","Number","27623"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","60 years and over","Male","Number","16736"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","60 years and over","Female","Number","10887"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","All ages","Both sexes","Number","413823"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","All ages","Male","Number","211709"
"Persons in receipt of the Pandemic Unemployment Payment","2020W27","All ages","Female","Number","202114"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","Under 20 years","Both sexes","Number","15744"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","Under 20 years","Male","Number","7673"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","Under 20 years","Female","Number","8071"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","20 - 24 years","Both sexes","Number","58152"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","20 - 24 years","Male","Number","29596"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","20 - 24 years","Female","Number","28556"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","25 - 34 years","Both sexes","Number","79380"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","25 - 34 years","Male","Number","41562"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","25 - 34 years","Female","Number","37818"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","35 - 44 years","Both sexes","Number","78365"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","35 - 44 years","Male","Number","40055"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","35 - 44 years","Female","Number","38310"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","45 - 54 years","Both sexes","Number","64485"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","45 - 54 years","Male","Number","34788"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","45 - 54 years","Female","Number","29697"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","55 - 59 years","Both sexes","Number","26213"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","55 - 59 years","Male","Number","14977"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","55 - 59 years","Female","Number","11236"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","60 years and over","Both sexes","Number","24431"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","60 years and over","Male","Number","15012"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","60 years and over","Female","Number","9419"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","All ages","Both sexes","Number","346770"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","All ages","Male","Number","183663"
"Persons in receipt of the Pandemic Unemployment Payment","2020W28","All ages","Female","Number","163107"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","Under 20 years","Both sexes","Number","14160"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","Under 20 years","Male","Number","6976"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","Under 20 years","Female","Number","7184"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","20 - 24 years","Both sexes","Number","52464"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","20 - 24 years","Male","Number","27089"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","20 - 24 years","Female","Number","25375"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","25 - 34 years","Both sexes","Number","71897"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","25 - 34 years","Male","Number","37960"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","25 - 34 years","Female","Number","33937"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","35 - 44 years","Both sexes","Number","71032"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","35 - 44 years","Male","Number","36445"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","35 - 44 years","Female","Number","34587"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","45 - 54 years","Both sexes","Number","58748"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","45 - 54 years","Male","Number","31767"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","45 - 54 years","Female","Number","26981"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","55 - 59 years","Both sexes","Number","24035"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","55 - 59 years","Male","Number","13800"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","55 - 59 years","Female","Number","10235"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","60 years and over","Both sexes","Number","22612"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","60 years and over","Male","Number","13935"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","60 years and over","Female","Number","8677"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","All ages","Both sexes","Number","314948"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","All ages","Male","Number","167972"
"Persons in receipt of the Pandemic Unemployment Payment","2020W29","All ages","Female","Number","146976"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","Under 20 years","Both sexes","Number","12876"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","Under 20 years","Male","Number","6367"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","Under 20 years","Female","Number","6509"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","20 - 24 years","Both sexes","Number","47757"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","20 - 24 years","Male","Number","24742"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","20 - 24 years","Female","Number","23015"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","25 - 34 years","Both sexes","Number","65309"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","25 - 34 years","Male","Number","34324"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","25 - 34 years","Female","Number","30985"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","35 - 44 years","Both sexes","Number","64731"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","35 - 44 years","Male","Number","32834"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","35 - 44 years","Female","Number","31897"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","45 - 54 years","Both sexes","Number","54183"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","45 - 54 years","Male","Number","29083"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","45 - 54 years","Female","Number","25100"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","55 - 59 years","Both sexes","Number","22375"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","55 - 59 years","Male","Number","12796"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","55 - 59 years","Female","Number","9579"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","60 years and over","Both sexes","Number","20949"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","60 years and over","Male","Number","12868"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","60 years and over","Female","Number","8081"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","All ages","Both sexes","Number","288180"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","All ages","Male","Number","153014"
"Persons in receipt of the Pandemic Unemployment Payment","2020W30","All ages","Female","Number","135166"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","Under 20 years","Both sexes","Number","11357"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","Under 20 years","Male","Number","5655"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","Under 20 years","Female","Number","5702"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","20 - 24 years","Both sexes","Number","45402"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","20 - 24 years","Male","Number","23652"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","20 - 24 years","Female","Number","21750"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","25 - 34 years","Both sexes","Number","62875"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","25 - 34 years","Male","Number","33182"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","25 - 34 years","Female","Number","29693"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","35 - 44 years","Both sexes","Number","62024"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","35 - 44 years","Male","Number","31500"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","35 - 44 years","Female","Number","30524"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","45 - 54 years","Both sexes","Number","52157"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","45 - 54 years","Male","Number","27964"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","45 - 54 years","Female","Number","24193"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","55 - 59 years","Both sexes","Number","21587"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","55 - 59 years","Male","Number","12334"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","55 - 59 years","Female","Number","9253"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","60 years and over","Both sexes","Number","20498"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","60 years and over","Male","Number","12587"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","60 years and over","Female","Number","7911"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","All ages","Both sexes","Number","275900"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","All ages","Male","Number","146874"
"Persons in receipt of the Pandemic Unemployment Payment","2020W31","All ages","Female","Number","129026"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","Under 20 years","Both sexes","Number","10753"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","Under 20 years","Male","Number","5410"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","Under 20 years","Female","Number","5343"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","20 - 24 years","Both sexes","Number","43109"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","20 - 24 years","Male","Number","22594"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","20 - 24 years","Female","Number","20515"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","25 - 34 years","Both sexes","Number","59957"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","25 - 34 years","Male","Number","31742"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","25 - 34 years","Female","Number","28215"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","35 - 44 years","Both sexes","Number","59433"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","35 - 44 years","Male","Number","30127"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","35 - 44 years","Female","Number","29306"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","45 - 54 years","Both sexes","Number","50225"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","45 - 54 years","Male","Number","26895"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","45 - 54 years","Female","Number","23330"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","55 - 59 years","Both sexes","Number","20870"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","55 - 59 years","Male","Number","11903"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","55 - 59 years","Female","Number","8967"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","60 years and over","Both sexes","Number","19883"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","60 years and over","Male","Number","12231"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","60 years and over","Female","Number","7652"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","All ages","Both sexes","Number","264230"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","All ages","Male","Number","140902"
"Persons in receipt of the Pandemic Unemployment Payment","2020W32","All ages","Female","Number","123328"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","Under 20 years","Both sexes","Number","9567"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","Under 20 years","Male","Number","4711"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","Under 20 years","Female","Number","4856"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","20 - 24 years","Both sexes","Number","38271"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","20 - 24 years","Male","Number","19671"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","20 - 24 years","Female","Number","18600"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","25 - 34 years","Both sexes","Number","52870"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","25 - 34 years","Male","Number","27253"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","25 - 34 years","Female","Number","25617"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","35 - 44 years","Both sexes","Number","52285"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","35 - 44 years","Male","Number","25504"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","35 - 44 years","Female","Number","26781"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","45 - 54 years","Both sexes","Number","44488"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","45 - 54 years","Male","Number","23214"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","45 - 54 years","Female","Number","21274"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","55 - 59 years","Both sexes","Number","18800"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","55 - 59 years","Male","Number","10574"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","55 - 59 years","Female","Number","8226"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","60 years and over","Both sexes","Number","17985"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","60 years and over","Male","Number","11006"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","60 years and over","Female","Number","6979"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","All ages","Both sexes","Number","234266"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","All ages","Male","Number","121933"
"Persons in receipt of the Pandemic Unemployment Payment","2020W33","All ages","Female","Number","112333"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","Under 20 years","Both sexes","Number","9487"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","Under 20 years","Male","Number","4721"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","Under 20 years","Female","Number","4766"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","20 - 24 years","Both sexes","Number","38017"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","20 - 24 years","Male","Number","19656"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","20 - 24 years","Female","Number","18361"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","25 - 34 years","Both sexes","Number","52572"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","25 - 34 years","Male","Number","27250"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","25 - 34 years","Female","Number","25322"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","35 - 44 years","Both sexes","Number","51783"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","35 - 44 years","Male","Number","25362"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","35 - 44 years","Female","Number","26421"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","45 - 54 years","Both sexes","Number","44039"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","45 - 54 years","Male","Number","23012"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","45 - 54 years","Female","Number","21027"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","55 - 59 years","Both sexes","Number","18500"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","55 - 59 years","Male","Number","10419"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","55 - 59 years","Female","Number","8081"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","60 years and over","Both sexes","Number","17700"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","60 years and over","Male","Number","10839"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","60 years and over","Female","Number","6861"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","All ages","Both sexes","Number","232098"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","All ages","Male","Number","121259"
"Persons in receipt of the Pandemic Unemployment Payment","2020W34","All ages","Female","Number","110839"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","Under 20 years","Both sexes","Number","9315"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","Under 20 years","Male","Number","4663"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","Under 20 years","Female","Number","4652"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","20 - 24 years","Both sexes","Number","37459"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","20 - 24 years","Male","Number","19480"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","20 - 24 years","Female","Number","17979"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","25 - 34 years","Both sexes","Number","51407"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","25 - 34 years","Male","Number","26701"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","25 - 34 years","Female","Number","24706"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","35 - 44 years","Both sexes","Number","50570"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","35 - 44 years","Male","Number","24742"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","35 - 44 years","Female","Number","25828"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","45 - 54 years","Both sexes","Number","42882"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","45 - 54 years","Male","Number","22407"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","45 - 54 years","Female","Number","20475"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","55 - 59 years","Both sexes","Number","17939"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","55 - 59 years","Male","Number","10116"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","55 - 59 years","Female","Number","7823"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","60 years and over","Both sexes","Number","17182"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","60 years and over","Male","Number","10539"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","60 years and over","Female","Number","6643"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","All ages","Both sexes","Number","226754"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","All ages","Male","Number","118648"
"Persons in receipt of the Pandemic Unemployment Payment","2020W35","All ages","Female","Number","108106"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","Under 20 years","Both sexes","Number","8659"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","Under 20 years","Male","Number","4351"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","Under 20 years","Female","Number","4308"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","20 - 24 years","Both sexes","Number","36906"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","20 - 24 years","Male","Number","19321"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","20 - 24 years","Female","Number","17585"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","25 - 34 years","Both sexes","Number","50497"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","25 - 34 years","Male","Number","26494"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","25 - 34 years","Female","Number","24003"
"Persons in receipt of the Pandemic Unemployment Payment","2020W36","35 - 44 years","Both sexes","Number","49633"
